result_id,det_index,matched,matched_track_id,e,n,lat,lon,utc,range,direction
1,95,0,-1,659835.816189,4347013.849688,39.242087441198,118.851405497870,40205.457031250000,14417.301664663328,-82.324829344745
1,96,0,-1,659682.714649,4347278.919760,39.244500760725,118.849632220991,40205.457031250000,14213.842417977852,-81.414175590633
1,97,0,-1,659779.984346,4347514.821466,39.246605625964,118.850758833514,40205.457031250000,13959.265247591933,-81.486555105267
1,98,0,-1,660282.239498,4346794.554601,39.240031861589,118.856576130511,40205.582031250000,14499.090195154036,-84.296931208144
1,99,0,-1,660383.822403,4346881.045493,39.240791430274,118.857752699218,40205.582031250000,14388.639279675699,-84.592557163347
1,100,0,-1,658828.629198,4347719.114696,39.248618374013,118.839739890809,40205.582031250000,14097.755514605673,-77.579569933030
1,101,0,-1,660639.071494,4346914.018071,39.241040959734,118.860709082694,40205.710937500000,14290.758617322999,-85.569733544881
1,102,0,-1,660667.960796,4347281.951405,39.244346365943,118.861043688541,40205.710937500000,13928.486915219601,-85.313971988768
1,103,0,-1,660515.763688,4345952.156700,39.232397534142,118.859280889049,40205.710937500000,15243.200781097432,-86.201776198786
1,104,0,-1,660532.987267,4345964.489593,39.232505325505,118.859480378507,40205.710937500000,15227.137487161628,-86.251299339136
1,105,0,-1,660670.211441,4347305.210807,39.244555243140,118.861069756281,40205.710937500000,13905.401656866083,-85.297596610233
1,106,0,-1,660417.036067,4345884.700226,39.231820355820,118.857557819810,40205.710937500000,15343.066301611714,-85.717555060219
1,107,0,-1,660426.671476,4346016.650874,39.232994326134,118.858248992109,40205.710937500000,15201.994374492240,-85.816210312591
1,108,0,-1,660285.394741,4346147.433005,39.234197214038,118.856612675639,40205.710937500000,15110.495503958784,-85.176497356249
1,109,0,-1,660167.071494,4345551.237381,39.228865816364,118.854663546287,40205.710937500000,15728.463177402233,-85.133982843760
1,110,0,-1,660665.022656,4347092.888361,39.242645676404,118.861009657987,40205.710937500000,14111.043939346851,-85.494254831910
1,111,0,-1,660353.267223,4344652.978558,39.220737626779,118.856819457358,40205.710937500000,16554.628092565297,-86.548877874669
1,112,0,-1,660670.993015,4346626.434776,39.238447261504,118.861078808744,40205.710937500000,14550.116474172757,-86.165471182026
1,113,0,-1,660247.779711,4345540.268408,39.228752241483,118.855598045433,40205.710937500000,15718.690484802592,-85.428662817764
1,114,0,-1,660923.072484,4346893.367894,39.240802578214,118.863998479454,40205.710937500000,14243.211856585422,-86.697943338210
1,115,0,-1,661071.065092,4346842.543787,39.240317768539,118.865712580049,40205.839843750000,14259.294590111182,-87.349310304824
1,116,0,-1,660839.731923,4345238.351346,39.225915132587,118.862452100878,40205.839843750000,15877.136504551456,-87.793205152757
1,117,0,-1,660766.530548,4345829.576056,39.231259773679,118.861604522139,40205.839843750000,15314.435005043531,-87.063089520107
